Sample,CH4_T0,CH4_T1,CH4_T2,CH4_T3,CH4_T4,CH4_T5,CH4_T6,CH4_T7,,,,,,,,,,,,,,,,,
1_1,2.32576180,0.00000000,0.00000000,0.00000000,0.00000000,2.16043750,2.62042630,0.00000000,,,,,,,,,,,,,,,,,
1_2,2.71497020,0.00000000,0.00000000,0.00000000,0.00000000,2.21219650,2.75459740,2.37977800,,,,,,,,,,,,,,,,,
1_3,2.16605720,0.00000000,0.00000000,0.00000000,2.21330460,2.35216450,2.82265620,2.43459140,,,,,,,,,,,,,,,,,
2_1,2.39414120,7.44925940,5.46535780,4.49001800,2.88745190,3.48923440,4.11387270,3.19359420,,,,,,,,,,,,,,,,,
2_2,2.32461680,7.80499240,5.87314860,4.81865150,2.98350600,4.57408360,4.16514580,3.99619350,,,,,,,,,,,,,,,,,
2_3,2.60823330,9.30304040,7.45622140,5.82533900,4.26497620,5.69295280,6.00319140,5.60995530,,,,,,,,,,,,,,,,,
3_1,1.73736920,0.00000000,0.00000000,0.00000000,0.00000000,2.25462430,2.66702780,2.80015530,,,,,,,,,,,,,,,,,
3_2,2.39439310,0.00000000,0.00000000,0.00000000,0.00000000,2.71105120,2.88036420,2.60654670,,,,,,,,,,,,,,,,,
3_3,0.00000000,0.00000000,0.00000000,4.31925650,2.23467120,2.68891390,2.74667400,2.55826720,,,,,,,,,,,,,,,,,
4_1,1.73789590,7.86227280,6.26003350,5.50023500,4.13015630,5.40334540,5.87268430,5.46114740,,,,,,,,,,,,,,,,,
4_2,2.06243470,8.13048320,6.65449900,5.71522250,4.08400540,5.63516740,5.70876610,4.91151930,,,,,,,,,,,,,,,,,
4_3,2.18050710,7.77701080,6.27590650,5.56468250,3.84655890,4.91722390,6.07253260,5.84836460,,,,,,,,,,,,,,,,,
5_1,1.60837350,0.00000000,4.89622300,0.00000000,2.35450580,2.33391520,3.01144380,2.64155770,,,,,,,,,,,,,,,,,
5_2,1.93504200,0.00000000,0.00000000,0.00000000,0.00000000,2.10748780,2.60769390,0.00000000,,,,,,,,,,,,,,,,,
5_3,1.89311210,0.00000000,0.00000000,0.00000000,0.00000000,2.20480930,2.71324000,2.49455610,,,,,,,,,,,,,,,,,
6_1,1.72786570,0.00000000,4.83183400,4.40934650,2.49905300,3.08031400,3.72686270,3.36492510,,,,,,,,,,,,,,,,,
6_2,1.62944150,7.02951760,4.96689100,4.64535500,2.95312910,3.40058800,4.45670860,3.67155010,,,,,,,,,,,,,,,,,
6_3,1.75637620,0.00000000,4.95815500,4.41827750,2.25658750,2.83660930,3.21449810,2.95598770,,,,,,,,,,,,,,,,,
7_1,1.80091670,7.07122300,4.78922650,2.04180920,2.26946960,2.56892050,3.15431690,2.82847630,,,,,,,,,,,,,,,,,
7_2,2.17933920,0.00000000,0.00000000,2.20720830,2.23345230,2.43373960,2.91072960,2.78911680,,,,,,,,,,,,,,,,,
7_3,2.36808100,7.06558040,4.90837150,2.32644640,2.29891440,3.03151960,3.10673070,2.86239460,,,,,,,,,,,,,,,,,
8_1,1.62348750,0.00000000,0.00000000,0.00000000,0.00000000,2.79974620,3.00576460,2.77680720,,,,,,,,,,,,,,,,,
8_2,1.78051280,6.94133640,4.76268700,0.00000000,2.21077120,2.39529700,2.97411680,2.80519510,,,,,,,,,,,,,,,,,
8_3,2.31648730,0.00000000,4.77996400,0.00000000,2.24571300,2.35209160,3.00855840,2.90596880,,,,,,,,,,,,,,,,,
9_1,1.73423190,10.54921840,5.91314800,2.89195210,3.17645070,3.87686800,4.49300510,3.90578930,,,,,,,,,,,,,,,,,
9_2,1.61613660,7.67619160,5.51595250,2.50212580,2.60335260,3.38838940,3.66766620,3.41124220,,,,,,,,,,,,,,,,,
9_3,1.59000770,7.66414100,5.56591150,2.65572820,2.66934050,3.33206200,3.76338820,3.38144940,,,,,,,,,,,,,,,,,
10_1,2.22273470,0.00000000,0.00000000,2.05737460,0.00000000,2.14964830,0.00000000,0.00000000,,,,,,,,,,,,,,,,,
