Sample,CO2_T0,CO2_T1,CO2_T2,CO2_T3,CO2_T4,CO2_T5,CO2_T6,CO2_T7,,,,,,,,,,,,,,,,,
1_1,244.51441630,141.14752940,414.70694460,147.12258800,147.24198840,1079.01005110,991.92270200,994.98020500,,,,,,,,,,,,,,,,,
1_2,244.76541760,162.93134660,226.27586340,144.66353490,130.65114600,1075.75121770,823.12227440,925.25582620,,,,,,,,,,,,,,,,,
1_3,281.76760370,136.92809420,201.62357600,151.66151640,108.62512440,1015.41751940,859.87841360,1010.46832030,,,,,,,,,,,,,,,,,
2_1,281.13563500,270.31829960,635.54436040,827.60490070,1453.06946520,5702.09737570,5915.84347460,1990.00863460,,,,,,,,,,,,,,,,,
2_2,258.68729920,334.42423040,867.28060940,1070.75146990,2417.52823080,7729.13926480,8390.06301260,8375.22316360,,,,,,,,,,,,,,,,,
2_3,297.61403100,457.13736380,1216.59268580,1491.50511080,2790.06098040,8474.24149960,8812.14036620,9918.34601500,,,,,,,,,,,,,,,,,
3_1,122.71055170,1150.03973360,1242.48264430,820.05953490,819.79885800,3349.45256380,4398.99869240,5133.57762430,,,,,,,,,,,,,,,,,
3_2,321.59276380,1057.91505440,1194.33357740,687.99383980,690.71677080,3574.07499890,4315.93332380,4305.39462280,,,,,,,,,,,,,,,,,
3_3,96.15587410,1251.50127800,1642.81737820,1018.53683130,1010.11928280,4080.01482040,5096.52942920,5029.42092310,,,,,,,,,,,,,,,,,
4_1,134.98350580,3436.36994360,4325.81945260,2351.18344910,3340.86622440,10841.45480330,14377.94138660,14968.84311910,,,,,,,,,,,,,,,,,
4_2,326.83735260,3365.91690320,3982.66588940,2430.33412920,2419.45292280,10881.07598160,10505.29789940,5378.32046890,,,,,,,,,,,,,,,,,
4_3,285.79384570,4457.02003340,5204.80808490,2756.48935970,3272.83764840,11178.98474410,18819.14066420,19532.92403710,,,,,,,,,,,,,,,,,
5_1,109.55811900,306.14988140,839.47104380,380.78215640,760.39576920,3457.83805350,3496.84604120,3405.80247490,,,,,,,,,,,,,,,,,
5_2,89.16087950,224.86920020,335.44911220,207.60496800,368.00090040,2037.19020190,2982.21696860,842.74687720,,,,,,,,,,,,,,,,,
5_3,113.61358250,208.45812980,315.52068170,236.76683510,306.65904840,2563.26238200,3594.92279720,3471.85604710,,,,,,,,,,,,,,,,,
6_1,121.76185230,1178.61927080,1767.23978520,926.05738590,1227.64612200,4175.87184590,4848.72418280,4348.91757520,,,,,,,,,,,,,,,,,
6_2,109.91353340,1167.06959120,1535.52058440,788.07071920,1033.81365240,3592.94327130,4665.14690420,1082.72774800,,,,,,,,,,,,,,,,,
