Sample,CH4_T0,CH4_T1,CH4_T2,CH4_T3,CH4_T4,CH4_T5,CH4_T6,CH4_T7,CH4_T8,CH4_T9,CH4_T10,CH4_T11,CH4_T12,CH4_T13,CH4_T14,CH4_T15,CH4_T16,,,,,,,,
A1_1,0.00000000,0.00000000,1.39604808,0.00000000,0.00000000,1.22823800,3.95852000,3.10405780,4.13924640,0.00000000,2.36319300,5.16600020,11.03348670,0.00000000,4.36707309,6.32396331,2.62926440,,,,,,,,
A1_2,0.00000000,0.00000000,1.50120336,0.00000000,0.00000000,1.19507000,3.72248000,3.02581180,4.16047200,6.53040830,2.09157700,5.87226940,5.32359390,0.00000000,4.62045206,6.15205920,2.64092600,,,,,,,,
A1_3,1.15525752,0.00000000,0.00000000,0.00000000,1.48860504,1.08253400,3.71645600,2.29282660,4.28566080,6.27944070,2.99054100,6.35200320,0.00000000,0.00000000,4.51253280,5.85563211,2.65084740,,,,,,,,
A2_1,0.00000000,34.12359744,74.87626368,108.86561040,150.43128696,119.70327800,162.08895200,156.54847330,205.61834400,214.44802600,247.04094100,208.60445360,276.71991390,327.78508110,462.03322251,535.00127109,601.16479420,,,,,,,,
A2_2,0.00000000,31.10763264,86.37586824,134.43499872,191.03013216,171.81371000,227.99667200,229.95162910,270.56590800,276.20035430,290.91136100,185.52829140,332.31339240,340.50259230,477.78637577,518.19131691,583.92564980,,,,,,,,
A2_3,0.00000000,36.13160352,85.87835112,129.95151552,188.34255288,182.21221400,251.39578400,218.62170550,268.54992480,280.59710510,308.13535900,237.61106760,310.09869300,275.03785710,433.24882851,472.74633120,515.94030720,,,,,,,,
A3_1,0.00000000,1.93124448,0.00000000,1.78409712,1.93735728,3.99330200,5.10130400,6.98075830,6.04514160,9.26616730,4.75280700,6.46216780,0.00000000,5.29376670,5.15251731,6.45564103,4.92088180,,,,,,,,
A3_2,0.00000000,0.00000000,0.00000000,0.00000000,1.27887120,1.38498200,3.73121600,3.59202610,4.13019120,6.86352160,3.41690100,6.14783560,0.00000000,4.84654170,4.88862549,6.00097234,2.81795180,,,,,,,,
A3_3,1.00269648,0.00000000,1.03316304,1.60892016,0.00000000,1.31591000,3.56921600,3.06194590,3.91653600,6.42267080,3.67645700,6.09738520,0.00000000,4.77205110,4.84653583,6.01939200,2.87259860,,,,,,,,
A4_1,0.00000000,2.38733760,3.98206056,6.39379200,8.31338136,7.92855800,13.36282400,12.42354520,19.00120560,21.49100330,22.28803900,20.32680040,25.70543780,24.02117790,31.83200794,34.64277806,31.93784840,,,,,,,,
A4_2,0.00000000,2.22139200,3.96751440,6.40426176,8.80583616,8.41904600,14.12770400,16.13478700,23.24516400,26.65698880,26.42474300,19.58529600,25.71389280,21.77739480,26.12788457,26.31557074,21.27810640,,,,,,,,
A4_3,0.00000000,2.45963328,5.31396336,6.31450272,8.22411792,7.65841400,13.73868800,13.20116950,22.09005840,26.37203140,26.05160100,23.85001100,29.31262560,23.73855180,31.31102897,30.91055211,27.54958380,,,,,,,,
A5_1,0.00000000,1.92828576,1.93713960,0.00000000,1.32853320,1.26740600,4.24829600,3.34440910,4.60122000,6.86838360,3.20732900,8.45295660,7.61663280,5.02669800,4.75872480,6.52178434,2.86789500,,,,,,,,
A5_2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.60843200,2.83828870,3.83160720,6.37398450,3.02965700,5.55588060,0.00000000,0.00000000,4.56674091,5.68936046,2.67111000,,,,,,,,
A5_3,0.00000000,0.00000000,0.00000000,1.47964416,1.16327088,0.00000000,3.53144000,2.98369990,3.82482240,6.73887760,3.30102700,5.35955720,7.04858140,4.65832530,4.71755263,5.93026217,2.87372250,,,,,,,,
A6_1,0.00000000,0.00000000,1.55682480,1.58753376,1.87987752,1.68138200,4.38464000,3.83794210,5.63034480,7.76590880,4.79984300,6.53249260,8.56877260,5.98812120,6.93415989,7.65067337,4.74198750,,,,,,,,
A6_2,0.00000000,0.00000000,2.01909792,1.66746144,1.98073944,1.30875800,4.32725600,4.00881970,5.45401920,7.52994710,4.46141700,6.82746000,7.92334460,5.44256700,5.69849777,6.82753543,3.87609750,,,,,,,,
A6_3,0.00000000,0.00000000,1.72215120,2.11912944,1.57966272,1.67672600,4.29022400,3.47638240,5.07259200,7.39423100,4.44311300,6.27752880,7.98665920,5.56230270,6.03640011,6.94791017,4.13187750,,,,,,,,
A7_1,1.09434672,0.00000000,2.58056688,2.58030960,2.94924456,2.36115800,4.97040800,4.81397590,5.84856720,8.58455910,5.79811500,8.20023860,9.85444880,7.45532070,8.58521366,9.34840251,6.27025500,,,,,,,,
A7_2,0.00000000,0.00000000,2.14975704,1.85508720,2.46095496,1.80543800,4.31847200,4.31458660,5.30522880,8.03049000,4.31313700,8.57193700,9.03958260,6.90831930,10.05556097,12.25577794,10.09863000,,,,,,,,
A7_3,0.00000000,0.00000000,2.73666576,1.88279376,2.90925864,2.32868600,4.89800000,4.91197780,5.92098240,9.12532400,5.77862300,8.65825140,10.01347400,9.27101400,10.42075851,12.00703646,9.36141750,,,,,,,,
A8_1,0.00000000,1.64649984,1.47621216,1.71055344,1.46438280,1.69119800,3.95984000,4.06147780,4.90167840,8.01322990,4.82593500,8.08722580,9.31510880,7.82204520,9.73830206,10.49837520,8.20518750,,,,,,,,
A8_2,0.00000000,1.42826208,1.94482920,2.01404880,2.31190488,1.40360600,4.22604800,3.78219790,5.26890240,7.79227410,4.64538100,7.29668820,8.68317320,7.00592490,9.28460537,10.62061474,8.22919500,,,,,,,,
A8_3,0.00000000,0.00000000,1.56996120,1.87717584,2.17048032,1.62860600,4.36419200,4.19218750,4.96678080,8.32072930,4.84703300,6.92881700,9.21799200,7.54462500,9.43121194,11.09804160,7.83114750,,,,,,,,
A9_1,0.00000000,2.47989408,3.13594824,4.63078656,6.33407832,5.15022200,10.09820000,11.70856630,13.04198640,15.50645590,12.50697100,13.71164580,21.89054180,24.31767300,32.15194286,35.81528057,33.89332500,,,,,,,,
A9_2,0.00000000,3.20883264,6.11643720,8.14626384,11.00307528,9.61518200,15.80429600,17.56814680,25.10393520,31.23907020,31.78334900,31.00269620,46.67227140,55.41259410,86.62930097,90.56809200,93.67213500,,,,,,,,
A9_3,0.00000000,2.37318720,3.46839528,6.06699504,7.12642752,6.25076600,10.69246400,11.41614010,16.65398160,21.17240970,21.88055500,20.66333140,30.50675640,28.40888730,54.56126383,65.72545474,67.37805000,,,,,,,,
A10_1,0.99266040,0.00000000,1.38195048,0.00000000,1.65034296,1.19238200,3.52100000,3.54354760,4.49403600,6.63489710,3.83560500,8.30598340,7.35365560,5.21433150,5.15488749,7.13149783,5.70996000,,,,,,,,
A10_2,0.00000000,1.66631040,0.00000000,0.00000000,0.00000000,0.70208600,3.44928800,0.00000000,3.69725760,6.25283230,3.34625900,6.70674740,0.00000000,4.86740550,4.64445960,5.78404663,2.92592250,,,,,,,,
A10_3,0.00000000,1.47611616,1.98917256,0.00000000,1.35813816,1.17678200,3.45233600,3.04160680,4.22174640,6.69410300,3.06454900,5.51967140,6.95963480,4.78662360,4.57813303,5.81959200,2.83290750,,,,,,,,
A11_1,0.00000000,2.67559752,3.87280416,5.34094272,6.37406424,5.70097400,10.42608520,10.95011470,16.70967100,18.05929320,18.48791300,25.17186500,50.05288300,50.93785170,99.79376829,110.69111074,110.72011500,,,,,,,,
A11_2,0.00000000,2.65342584,5.07923832,6.24006528,8.56329336,7.72139000,13.68386470,14.47315300,18.67229250,22.17809230,28.24502300,37.34179060,65.07036920,81.87307830,121.19924520,142.57763040,144.82134000,,,,,,,,
A11_3,0.00000000,2.06536368,4.17820944,5.32600416,6.77687112,6.06431000,10.33364800,10.52377120,17.16483200,18.78901310,16.18473300,28.21796660,48.14694800,73.43903790,98.72440046,109.61356080,120.04515000,,,,,,,,
A12_1,0.00000000,2.32238856,6.00686040,7.04189568,8.54073720,7.13456600,11.92585690,14.41318060,22.42706450,21.68769330,24.80442100,28.78893700,40.84522780,45.85088340,63.64804234,75.52010743,85.47093000,,,,,,,,
A12_2,0.00000000,3.49530888,8.21345520,11.81527632,14.09890824,10.85058200,17.05602430,20.33455600,28.10606650,28.32193650,32.46273100,34.44134340,46.05014360,49.97534310,70.92638006,86.21652411,100.54226250,,,,,,,,
A12_3,0.00000000,2.45766144,4.60876296,6.13836816,10.15587360,9.49523000,17.32278970,21.05704360,29.41654700,30.56144000,34.74146900,33.39988500,50.79710100,63.05220210,86.19188966,98.99588434,112.02963750,,,,,,,,
A1_4,2.01852672,0.00000000,1.64192544,0.00000000,1.66136472,6.18179000,3.35194210,3.46033200,6.13250650,6.79101150,2.39228580,5.86818360,7.06940740,7.33755480,5.78754789,8.08330697,2.70049500,,,,,,,,
A1_5,0.00000000,0.00000000,0.00000000,1.12251600,1.36723752,1.93909400,3.15550090,3.22782000,5.95238250,6.44088120,2.20174620,5.14624860,7.00783720,5.10609300,5.85087497,6.05071303,2.74405500,,,,,,,,
A1_6,0.00000000,0.00000000,0.00000000,1.44477432,0.00000000,1.53510200,3.00416050,3.17060400,5.78754650,6.48523590,2.00067300,5.06514300,6.95954580,4.72525830,5.86583143,5.63752663,2.69507250,,,,,,,,
A5_4,0.00000000,1.17285744,1.51335168,0.00000000,0.00000000,1.12151000,3.02743990,3.33853200,6.20267450,6.71297640,2.00707980,5.89477350,6.93578280,4.60604520,5.91583851,5.77582629,2.74644000,,,,,,,,
A5_5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.47697400,2.88511480,3.12469200,6.05427800,6.63604630,2.32347540,5.09550270,7.03448380,0.00000000,6.03107554,5.89738080,2.76286500,,,,,,,,
A5_6,0.00000000,1.43814864,1.62296496,1.28534328,0.00000000,1.23234200,3.00357730,3.27512400,6.02997400,6.34079030,2.29618380,6.01445550,7.04607160,4.59876900,5.87450846,6.11910171,2.99931750,,,,,,,,
A7_4,0.00000000,2.35423632,2.31077712,2.56124016,2.30906496,2.66617400,5.10013270,5.91961200,9.98130950,10.63291970,10.63145340,13.94699310,21.21462240,24.22537380,31.13406171,33.68047234,35.95538250,,,,,,,,
A7_5,0.00000000,3.13492296,2.39319456,3.48553008,3.85520592,3.83384600,7.27845760,7.87650000,13.17659950,13.46490210,15.02223180,18.39749820,24.87453380,27.27707640,36.65839851,42.90250114,50.08216500,,,,,,,,
A7_6,2.00952192,2.70289560,4.56062640,4.00419360,4.82876592,4.71947000,8.03749240,9.79587600,14.77199050,15.92056570,16.37185500,18.51130590,24.68167080,26.11417080,29.67784320,28.70145154,26.88459750,,,,,,,,
A10_4,1.54982688,0.00000000,0.00000000,1.41683544,0.00000000,1.30801400,3.24827830,2.45264400,0.00000000,6.65732860,2.55785940,6.37394070,7.09139040,5.16725730,6.09459291,5.10461314,2.77146000,,,,,,,,
A10_5,0.00000000,1.31505096,1.31180880,0.00000000,1.30709616,1.19449400,2.92798000,2.87029200,5.82434550,6.48364470,2.33781660,5.06816250,0.00000000,4.58071920,5.85848640,4.88335234,2.74650750,,,,,,,,
A10_6,0.00000000,1.68588192,0.00000000,1.32456024,1.41319824,1.19358200,3.00374740,3.11679600,6.14703500,5.42288890,2.30628420,5.00147730,0.00000000,0.00000000,5.62645200,4.64028034,2.61589500,,,,,,,,
A12_4,1.41012384,5.59489008,13.23807840,18.56022192,24.50514768,20.77983800,23.58776710,27.59115600,33.77705700,34.33340170,42.04052820,38.06827800,63.90340120,66.26572550,122.34188640,154.05575554,179.39801250,,,,,,,,
A12_5,1.38452448,4.71648144,11.89660848,17.64586440,25.67156832,20.28431000,28.57650850,32.27566800,38.69548100,38.16220460,41.72743860,42.64600470,55.15096320,51.75468350,99.87150309,119.58864514,134.42919750,,,,,,,,
A12_6,0.00000000,6.20365008,12.67526496,17.57338992,24.74933568,17.61253400,23.15836180,25.18362000,35.02984000,35.64293720,44.62584300,46.85575500,74.70896240,75.53241800,154.17139646,201.48874114,256.19888250,,,,,,,,
A1_7,0.00000000,1.67819232,1.98429936,1.96606512,1.23782976,1.34370200,3.19535290,3.04657200,5.82765300,6.29749640,2.18553540,10.92081360,7.15105600,4.63541000,6.39105806,8.20399234,3.94598250,,,,,,,,
A1_8,0.00000000,1.50825216,0.00000000,0.00000000,1.67660208,1.34202200,3.44185210,2.91334800,5.76806900,6.56702800,2.32819500,6.80677230,7.03209860,4.23874100,6.05063691,5.06989954,2.75622750,,,,,,,,
A1_9,0.00000000,1.31690928,0.00000000,0.00000000,1.43432928,1.14126200,3.07341550,3.01534800,5.84955600,6.37119990,2.00662380,6.13560150,7.10199920,4.32565250,0.00000000,4.88058754,2.93769000,,,,,,,,
A5_7,1.58192256,1.48960488,0.00000000,1.42798536,1.26362112,0.00000000,3.02906800,3.06433200,6.04229750,6.98962420,2.51606700,6.14614230,7.13005200,4.36566650,5.95496126,5.04551554,2.94435000,,,,,,,,
A5_8,0.00000000,0.00000000,1.73079072,1.43778960,1.54592160,2.00041400,3.41582680,4.03957200,7.39878900,7.63790560,3.32113500,5.87371020,7.74833500,4.93069850,6.82627954,5.97164674,3.78670500,,,,,,,,
A5_9,0.00000000,0.00000000,1.82501856,0.00000000,0.00000000,1.33453400,2.87021890,2.99953200,5.81437400,7.18794960,2.22680340,6.09514020,0.00000000,4.30431950,5.90327966,5.00423554,2.80086750,,,,,,,,
A7_7,0.00000000,2.37192240,5.58379008,7.15180320,9.14703120,9.61904600,13.04817670,16.87316400,30.51845900,35.42394830,57.51336060,65.20229190,132.14137440,158.32559600,424.56324823,708.06015874,1136.58408000,,,,,,,,
A7_8,1.34052960,3.11319984,5.77052208,7.64124624,12.09043824,12.98089400,25.32966400,31.46434800,53.02584950,64.13869930,89.02765740,97.61117100,180.90438540,207.17953100,555.44488320,883.87885954,1009.42062750,,,,,,,,
A7_9,1.46344512,2.00320608,3.09849888,5.00890392,8.81704224,12.49386200,20.55748420,24.65650800,45.19930000,53.08617990,75.48751260,97.39281540,166.34035420,214.11650000,578.06818011,887.68111234,958.62276000,,,,,,,,
