Sample,CO2_T0,CO2_T1,CO2_T2,CO2_T3,CO2_T4,CO2_T5,CO2_T6,CO2_T7,CO2_T8,CO2_T9,CO2_T10,CO2_T11,CO2_T12,CO2_T13,CO2_T14,CO2_T15,CO2_T16,,,,,,,,
A1_1,662.25697680,857.14429920,444.84560496,760.49483520,889.19212368,666.22552760,927.30559480,946.90658100,989.96340580,691.32356300,1103.83292970,221.93189640,637.92783680,161.19693520,1321.44318274,1324.03793366,988.44499260,,,,,,,,
A1_2,728.03031600,918.98793960,475.10142552,820.70407920,958.40191440,759.40188210,928.15842440,1037.33927790,1078.54134820,1097.80624090,837.27531900,1032.70537560,341.27451360,192.00128150,1303.79568617,1381.09091109,1099.19005940,,,,,,,,
A1_3,737.35681080,840.84465840,423.41718888,690.61445040,934.79979984,680.52868800,826.71795880,239.58244530,900.93641380,926.67190580,944.80289190,1020.22884280,241.00073870,218.96859460,1105.48290069,1148.03286137,933.74596560,,,,,,,,
A2_1,796.76595240,1257.45961920,840.46552848,919.52531040,864.35008080,805.73452280,459.14727560,576.98655780,1171.21882660,1542.35161300,1853.52109920,563.70525960,678.26330730,493.39857140,2964.00361543,3152.59969577,2914.88244020,,,,,,,,
A2_2,751.66935480,1215.31540200,762.29433648,959.77660800,1004.35949136,369.12013860,423.36362080,506.61390090,681.07174180,810.35228100,954.03985650,181.15479400,363.20979320,296.39423590,1745.88107177,1958.46401091,1891.22210500,,,,,,,,
A2_3,728.16603840,1181.22577800,752.42531160,928.60709520,859.83557712,298.88988760,263.46085800,217.59832860,276.58864420,291.52052220,335.15003340,386.29151560,192.08238870,156.86575590,1222.02105463,1520.65919263,1498.78529780,,,,,,,,
A3_1,746.92148760,1285.64827800,1444.20280992,1890.94483200,2113.77781584,1837.47977260,2889.91949640,2909.30672070,3172.38642340,3372.90477850,3519.67244490,2632.49135080,1257.65202380,810.60695660,4262.68981166,4021.62518743,3654.15637440,,,,,,,,
A3_2,704.05750440,1431.17447280,1554.17793120,2032.17435840,2150.00103504,1922.71320270,3172.61259640,3471.68636580,3634.36108900,3707.15798960,4066.21830060,3642.76317240,1400.55074180,1064.14164220,4614.12851211,4506.96706114,3962.55024580,,,,,,,,
A3_3,1068.48187920,1367.69911800,1541.82176928,1951.96336320,2290.27195728,2272.72015860,3333.88041720,3168.63444390,3981.82493860,3926.78753270,4134.61908270,3983.57139400,1737.68950700,1158.57423360,5411.86497429,5217.87831154,4589.96037020,,,,,,,,
A4_1,654.15554520,1090.62786840,663.99702624,931.98336960,1124.79521616,2401.37688680,3123.11034320,2862.94897290,4067.14300900,3677.10515720,4162.45507290,4183.61531160,1567.49039000,1191.62208970,5160.35292411,5043.28088520,4748.71555180,,,,,,,,
A4_2,758.93145720,1020.79677120,683.00796024,932.15217360,1148.91395664,1284.55820810,1583.37088120,1939.18710660,2808.03644260,3004.22270060,4945.81307940,1064.91844280,1636.59581900,1113.35205660,5119.60345029,5010.70677926,4629.55216300,,,,,,,,
A4_3,694.67993880,1132.13725800,715.45845672,977.54755440,1223.50216656,1322.47588320,1775.22530080,1703.36883300,2426.29935460,2597.86376570,3685.93251030,3145.26964200,1306.29508580,897.05444850,4488.52993406,4432.21523520,4838.79848060,,,,,,,,
A5_1,691.86913680,894.06803400,484.74123624,797.04151680,1032.40743504,856.54474920,1203.32838920,1686.90908970,2514.81834340,2809.93765660,2776.79165310,2608.55312600,681.09114200,430.38428580,2794.46476286,2662.09499983,2159.53206580,,,,,,,,
A5_2,752.03079360,824.40768480,420.24503664,708.82739760,959.88899280,600.88445920,1035.50783440,1174.85399160,1647.13021540,2359.80306670,2679.85710630,915.92021640,648.80228720,474.44720470,2563.84935360,2494.74540034,1955.48686120,,,,,,,,
A5_3,711.02157720,918.97117080,545.57731440,847.52227200,1111.52816592,842.64347480,1651.02220160,1929.05381070,2857.70282020,3412.82783450,3951.66401820,1190.15536760,1203.74805800,881.33506510,3938.37498309,3438.03573274,2956.91595940,,,,,,,,
A6_1,740.72958240,1249.67993640,933.46060320,1401.23289360,2006.16073296,3076.18342730,4560.10415280,3857.76127320,5150.29505380,5465.58916650,8236.94328450,2573.02320760,2993.35030040,2088.95999060,7979.32148811,7728.66039686,7723.04790250,,,,,,,,
A6_2,715.68956280,1172.94756000,1027.36349928,1692.66577440,2571.36215376,2116.01246010,4238.64217280,4267.66697850,4777.47865060,5488.19088820,7126.11424980,6218.93229000,3075.96945980,2344.96815210,8073.08571874,7793.21483486,6871.00980970,,,,,,,,
A6_3,651.08900760,1261.02084720,943.22133288,1494.75581760,2121.18507216,2879.69864500,4268.80996800,3747.56348550,5560.84253860,5293.23906270,6895.55446470,2745.32542360,2331.75981680,1652.19761980,7349.91379783,7165.39534423,7562.03578660,,,,,,,,
A7_1,694.88752920,1136.82609600,743.63911056,1181.85022560,1550.00942160,3040.25764340,3395.24904040,4163.09864190,4142.65416100,4403.01603240,5235.44232510,3418.54838760,1589.41443020,1105.31427650,5104.12571794,4742.84514514,4803.54678280,,,,,,,,
A7_2,729.76360680,1159.43123400,924.76795896,1270.76969280,1561.95181008,3045.94755830,3322.29678720,4472.44512480,4722.92306980,5307.48770520,4601.12951070,4730.58914700,2124.65821160,885.17704520,5274.41252811,4218.52713720,3945.19010680,,,,,,,,
A7_3,710.54642160,1145.46049800,882.08939736,1064.03928960,1391.66331600,2204.07262290,2478.06559200,2983.72406370,3381.23555620,4244.67968530,4610.52437670,4046.34709620,1337.21135480,886.92552830,4574.13296949,4501.58659663,4076.88692140,,,,,,,,
A8_1,749.97899400,1272.62675400,1327.35369888,1476.00386400,1817.32730064,2554.92932290,2691.10519720,3519.34858950,4017.25095460,5404.08068780,5779.05128280,4464.14548140,1472.02270160,791.31661070,4065.27638983,3941.96925411,3935.21828590,,,,,,,,
A8_2,661.62199440,1232.99155320,1284.59715192,1548.15153600,1809.66003408,1497.99835630,2015.84044440,2355.04333830,2685.72307300,3287.66721160,4454.19785970,3540.24114340,1135.54005620,679.07155330,3297.92785543,3115.24021183,3030.00921730,,,,,,,,
A8_3,730.47013920,1270.37031000,1452.17352888,1937.82743760,2513.82116304,1811.02615120,2262.69417240,2587.56063240,3814.39423780,4476.72464220,4794.14154330,1200.65520940,1347.95406200,638.51994920,3570.21186446,3480.28488514,3246.51128230,,,,,,,,
A9_1,711.51345960,1240.07753400,909.08469936,1323.80998320,1693.41809232,836.47393290,1523.16521720,1959.31354020,2535.27316900,2906.44898890,3715.57775700,901.34200640,1165.32478880,648.20856940,4310.77661794,4382.50154520,3821.30165980,,,,,,,,
A9_2,767.89225200,1272.02503560,1029.61142568,1409.96488800,1751.20368720,1341.88888690,1611.56252480,2237.68205790,1640.46707620,3049.22918430,3744.46044540,2698.74114000,752.04367040,445.28471120,2725.70772857,2864.74194377,2697.24224710,,,,,,,,
A9_3,705.22443720,1244.12230320,958.97251728,1473.91665600,1648.91168976,1330.66954250,1530.17832160,2241.45054990,2740.52310820,2992.73079110,3518.31077010,2317.62157740,622.39572920,307.39953440,2262.01542754,2125.60697726,1822.01950000,,,,,,,,
A10_1,707.01611280,894.73242120,468.26703720,781.90851360,1087.75364688,877.78504300,1150.38389040,1633.49906940,2048.43350500,2196.45093640,3639.55515840,3214.14844220,865.60234460,896.76493830,4372.45736160,4319.16730131,4146.87891610,,,,,,,,
A10_2,611.28863640,841.25555520,494.27448192,819.49180080,1071.59201616,676.18307370,1219.17761440,1180.85671560,2427.47445220,2575.29477440,3881.12877270,3517.38778840,1091.93263820,629.62337690,4570.22645966,4466.36229360,4314.02780260,,,,,,,,
A10_3,699.88674360,857.42998080,522.25168176,932.51155440,1198.76398416,1127.57717870,1304.62973600,1768.81351230,2738.69018980,2945.29013450,4059.57215340,1282.61503140,1377.19057040,593.91069570,4604.90558811,4618.95896417,4775.94414550,,,,,,,,
A11_1,725.00874360,1170.10580040,830.49416784,1054.56740880,1164.20227152,1515.73726540,2672.69732040,3242.71547820,4081.72439900,4291.34096180,3931.77947400,4249.58529220,1674.36467120,801.96016390,4551.52442057,4402.73554526,4544.96355730,,,,,,,,
A11_2,733.11469080,1240.46102664,798.08314464,1050.82942080,1275.29231568,1792.99997700,3029.37826320,3366.10328820,4241.23297900,3256.02354120,6887.63861820,5541.72444400,2200.77290720,841.22953670,3695.35860480,2845.89327497,3818.38454200,,,,,,,,
A11_3,693.53393040,1238.72490720,798.62891400,914.71766880,1066.85053392,1460.28635860,2300.92174350,2656.98789030,4617.16517900,5440.09431840,3282.85978380,2158.20625000,1718.37740720,876.44799410,4808.07787474,4638.57581709,4650.37739470,,,,,,,,
A12_1,771.45932160,1427.58071424,1356.27114456,1779.20565600,2070.62682192,2780.35468540,3824.04621000,4841.13116070,6471.45904700,6067.91321390,7462.45497240,5906.49500120,2884.94798840,1325.35150790,6840.00384343,6564.59995423,6023.83370950,,,,,,,,
A12_2,735.46407480,1110.86537832,851.82358032,1226.04421440,1541.42131536,1312.45385780,1910.61249690,2988.41436750,3887.67322700,3987.85154060,5067.46104210,4580.67685020,1201.02504860,1008.19321330,4784.67676834,4753.28896851,4530.91203370,,,,,,,,
A12_3,754.63088880,1405.87707456,1858.11763752,2884.92065040,3349.10637648,2788.11503950,3487.55872230,4131.13402740,5205.51769900,3638.64061200,6336.55626840,4710.14594660,1763.63953400,1395.73882420,6021.75623966,5577.49924594,5548.15744300,,,,,,,,
A1_4,732.02506080,1045.47455784,813.87947280,1268.52088656,1423.38926544,961.79524940,985.71066450,1271.21562500,1524.51654300,1424.10182330,1501.53841900,1154.88821580,324.96001640,291.86207260,1645.74922337,1744.53993617,1361.35037890,,,,,,,,
A1_5,729.55698720,1004.49321912,848.14610160,1504.68910800,1526.13835344,1190.69563460,1383.16437570,1390.83242340,1619.62022300,1479.65710910,1657.29013900,409.66745510,388.20887120,290.83884130,1764.70678046,1872.59591469,1457.26396120,,,,,,,,
A1_6,746.56764960,972.00337752,866.96091120,1417.64364624,1522.80848592,1044.47457830,1247.03025030,1307.26328620,1518.00612300,1412.53268110,1567.31670700,358.53257650,363.95137580,314.52951950,1771.62374023,1832.52394731,1566.13209220,,,,,,,,
A5_4,722.19474960,412.12847160,649.87935600,1034.48301264,1437.61318992,1268.81188960,1654.68092100,2600.82509300,3308.22316700,3109.23618100,3018.37525900,2386.14470850,709.23298220,661.34839050,2934.26756023,2797.70858554,2485.57743730,,,,,,,,
A5_5,763.74936600,388.88056800,623.89850880,881.90211024,1283.92455120,1110.94719520,1716.81872400,2179.29125960,2380.48796700,2142.18378260,2354.92993900,701.24900380,543.26749040,474.81995750,2194.64556617,2213.28484954,1885.71706570,,,,,,,,
A5_6,704.20635600,659.96037072,922.83522960,1279.73716560,1623.00806352,1258.34749370,1869.27281670,2600.87151530,3764.95661900,3491.13752530,4079.88829900,3318.49010040,1126.35543680,736.46680800,3507.42796920,3518.97008160,2840.84290270,,,,,,,,
A7_4,554.64236880,971.33630472,1616.68991280,2014.58870736,2197.29099600,1688.36917210,1823.82219330,2330.26441110,3064.48526700,3006.40321290,4050.83423500,3309.31987960,730.23580760,632.60482950,3164.42876571,3451.82167937,2988.15407110,,,,,,,,
A7_5,578.93044560,776.57584608,1398.75507120,1753.99329744,1879.87234320,1387.94572190,1884.77984460,1906.52683280,2546.53093500,2916.66478930,4469.92312300,1427.50409180,1214.13095840,945.29832670,3980.81433720,4299.80211189,3804.50423620,,,,,,,,
